timestamp,open,high,low,close,volume
2024-01-08T15:34:00+07:00,43994.87,44009.69,43994.86,44009.69,7.02331
2024-01-08T15:35:00+07:00,44009.69,44013.99,43986.95,43986.96,8.74118
2024-01-08T15:36:00+07:00,43986.96,43992,43986.95,43992,4.13467
2024-01-08T15:37:00+07:00,43992,43992,43952.78,43952.78,12.58985
2024-01-08T15:38:00+07:00,43952.78,43967.18,43949.41,43949.42,13.24167
2024-01-08T15:39:00+07:00,43949.42,43957.82,43931,43931.01,11.3439
2024-01-08T15:40:00+07:00,43931,43947.99,43928.57,43928.57,10.14156
2024-01-08T15:41:00+07:00,43928.58,43937.36,43924.85,43937.31,8.80485
2024-01-08T15:42:00+07:00,43937.31,43941.1,43924,43925.99,9.60966
2024-01-08T15:43:00+07:00,43925.99,43926,43901.76,43905.51,15.64008
2024-01-08T15:44:00+07:00,43905.5,43915.04,43901.76,43907.41,12.2258
2024-01-08T15:45:00+07:00,43907.41,43915,43907.41,43909.58,7.92396
2024-01-08T15:46:00+07:00,43909.59,43914.05,43897.12,43897.13,11.506
2024-01-08T15:47:00+07:00,43897.13,43916,43897.12,43904.79,17.16429
2024-01-08T15:48:00+07:00,43904.78,43911.5,43904.78,43904.99,14.5129
2024-01-08T15:49:00+07:00,43904.99,43916,43904.99,43915.99,11.87042
2024-01-08T15:50:00+07:00,43915.99,43930,43913.9,43913.9,14.72821
2024-01-08T15:51:00+07:00,43913.91,43913.91,43910,43911.5,3.51959
2024-01-08T15:52:00+07:00,43911.49,43920.65,43901.96,43901.97,10.35072
2024-01-08T15:53:00+07:00,43901.97,43901.97,43895.66,43895.67,10.22381
2024-01-08T15:54:00+07:00,43895.67,43895.67,43892.45,43892.46,5.8526
2024-01-08T15:55:00+07:00,43892.45,43892.46,43886.74,43886.74,10.91078
2024-01-08T15:56:00+07:00,43886.74,43886.75,43869.02,43869.02,18.62426
2024-01-08T15:57:00+07:00,43869.02,43886.78,43862.3,43862.3,20.4426
2024-01-08T15:58:00+07:00,43862.31,43862.31,43852.47,43856.6,10.81379
2024-01-08T15:59:00+07:00,43856.61,43878,43851.1,43868.53,16.15643
2024-01-08T16:00:00+07:00,43868.53,43885.13,43866.33,43885.13,18.72898
2024-01-08T16:01:00+07:00,43885.12,43899.36,43872,43899.36,23.13309
2024-01-08T16:02:00+07:00,43899.35,43920.14,43899.35,43902.57,26.6026
2024-01-08T16:03:00+07:00,43902.58,43902.58,43882.43,43894,16.7686
2024-01-08T16:04:00+07:00,43893.99,43894,43876,43879.35,5.92858
2024-01-08T16:05:00+07:00,43879.36,43889.42,43876,43887.99,29.71806
2024-01-08T16:06:00+07:00,43887.98,43887.99,43864,43865.73,11.41794
2024-01-08T16:07:00+07:00,43865.73,43888.69,43849.41,43853.58,100.85378
2024-01-08T16:08:00+07:00,43853.57,43859.24,43838.96,43851.1,18.93173
2024-01-08T16:09:00+07:00,43851.09,43859.24,43836,43859.23,10.8946
2024-01-08T16:10:00+07:00,43859.24,43874.83,43859.23,43863.62,7.53568
